PostId,PostType,Title,Characters,Words,H1Count,H2Count,H3Count,LinkCount,ImageCount,ShortcodeCount,LongDashCount,Disposition,TargetOwnerId,Rationale
"3","page","Privacy Policy","5238","612","0","9","0","0","0","0","0","trust_rewrite","candidate-privacy-policy","Replace default English template with a Hebrew privacy owner before publication."
"683","page","(ללא כותרת)","62449","8047","2","1","0","68","1","0","28","extract_merge","home","Full-page HTML shell with duplicate landmarks; extract unique modules only and discard the wrapper."
"826","page","טיסות לתאילנד וחבילות נופש: בדיקה לפי תאריכים ותקציב","2030","211","0","2","0","1","0","0","0","service_rewrite","thailand-flights","Remove internal draft language and publish only after live offer routing and current dates exist."
"827","page","מלונות בתאילנד לפי אזור, תקציב וסגנון חופשה","2007","198","0","2","0","1","0","0","0","service_rewrite","thailand-hotels","Turn the internal commercial shell into a reader-first hotel selection owner."
"828","page","ביטוח נסיעות לתאילנד: מה לבדוק לפני רכישה","2148","226","0","2","0","1","0","0","0","legal_rewrite","thailand-insurance-comparison","Merge into the live insurance owner after current coverage and commercial review."
"829","page","eSIM לתאילנד: איך לבחור חבילת גלישה לפני הטיסה","1951","201","0","2","0","1","0","0","0","keep_rewrite","services-in-thailand","Create an eSIM product-comparison spoke with device, network, price-date, and activation fields."
"830","page","טיול מאורגן לתאילנד: משפחות, זוגות וקבוצות בהתאמה אישית","1766","172","0","2","0","1","0","0","0","service_rewrite","services-in-thailand","Create a reader-first organized-tour service path with exact scope, locations, and intake."
"831","page","ויזה ושהייה ארוכה בתאילנד: בדיקת מסלול ותכנון ראשוני","2186","230","0","3","0","1","0","0","0","legal_rewrite","thailand-visas","Merge the planning questions into the visa hierarchy and separate each legal status."
"841","page","נדל״ן בתאילנד","1941","252","0","3","0","7","0","0","0","publish_release","thailand-real-estate","Release 0.3.0 national real-estate hub."
"15","post","(ללא כותרת)","7171","1059","0","0","0","0","0","0","2","extract_merge","koh-samui","Extract any useful 2020 hotel-opening history; do not publish the raw affiliate-style article."
"61","post","נכס להשקעה בתאילנד","19","3","0","0","0","0","0","0","0","discard_after_extract","thailand-real-estate","Three-word stub; retain the intent only inside the real-estate hub."
"209","post","תיירות בבנגקוק | מדריך שימושי לתיירים","18152","2792","0","0","0","0","0","0","0","extract_merge","bangkok","Merge useful Bangkok tourism sections into the canonical Bangkok hub and distinct itinerary spokes."
"223","post","תאילנד עם ילדים | מלונות ואתרי נופש משפחתיים הטובים ביותר בתאילנד","19380","3220","0","0","1","0","0","0","0","keep_rewrite","candidate-thailand-family-travel","Valuable family-resort source; create one family-travel owner and hotel children."
